;NU_INSCRICAO;NU_NOTA_MT;NU_NOTA_MT_Random Forest;NU_NOTA_MT_Regressão Linear;NU_NOTA_MT_Rede Neural;NU_NOTA_MT_Árvore de decisão
59340;180013272216;571.4;602.8;594.1;596.7;533.0
10626;180007664987;587.8;490.4;490.2;470.8;431.9
18410;180007324620;390.9;499.8;466.8;467.5;432.6
16294;180008690383;479.3;456.4;449.1;457.5;467.7
59440;180013685090;480.2;461.9;486.0;498.5;414.9
22992;180007851580;588.3;571.6;552.9;533.9;658.5
14099;180007709738;550.6;508.8;519.9;524.4;699.0
7975;180008338306;390.7;490.7;496.9;471.3;441.6
40909;180010784690;484.5;592.3;553.2;555.3;602.5
25569;180009710718;422.4;463.1;446.7;454.9;486.1
8859;180008304276;506.7;528.1;548.7;562.3;439.7
59683;180012755176;470.5;465.1;452.0;461.6;419.5
9441;180008463362;443.3;451.6;460.0;465.4;401.0
16427;180009026378;685.3;529.1;524.1;492.4;539.3
14431;180007702117;392.2;456.8;481.9;478.2;424.2
58093;180013337917;515.0;475.1;496.6;503.0;428.0
11257;180007990581;537.5;519.1;527.5;515.9;387.7
21081;180008066788;521.3;519.6;511.2;496.4;494.8
53374;180013198503;515.5;651.0;615.4;617.0;757.1
12841;180007395279;403.1;474.2;491.9;471.2;427.0
7169;180008597755;411.3;437.9;465.9;474.1;472.8
30959;180009901019;480.1;464.5;473.7;476.2;550.3
40346;180010754061;722.7;642.1;611.5;634.4;531.1
3607;180008304517;450.6;504.4;499.3;517.6;539.1
40875;180010819031;553.7;517.0;548.6;533.8;440.6
51627;180012370483;505.7;480.6;500.1;487.4;495.7
50377;180011534695;513.1;443.2;433.1;455.2;442.3
51845;180011558015;571.0;541.0;570.3;562.8;540.3
54476;180012494468;687.0;663.9;679.0;698.7;611.0
53463;180013435799;509.2;448.4;472.7;473.0;465.8
32892;180010170304;668.1;502.5;557.1;557.6;628.8
157;180007641386;511.2;536.0;535.4;538.0;721.1
45289;180011647615;442.3;428.8;440.9;451.4;447.4
58270;180012430298;512.5;463.3;470.8;469.1;595.0
12483;180007656471;494.6;476.3;476.8;475.4;585.7
7777;180008911201;442.8;484.2;564.1;546.6;406.9
33436;180010347869;499.3;537.2;542.9;543.0;463.6
17327;180008674036;453.2;471.3;437.9;456.9;473.4
5266;180009240395;704.6;595.8;609.8;633.8;539.0
34473;180010472839;496.2;445.7;439.6;455.4;507.6
60586;180013670844;471.4;494.6;485.7;485.2;581.5
39735;180011011892;565.1;723.0;651.3;751.3;829.8
50712;180011874067;539.3;580.7;610.7;552.8;473.4
12144;180007372218;756.5;664.2;626.5;690.3;671.4
21487;180007576738;710.9;658.7;630.7;661.4;654.7
15723;180008732621;626.2;590.4;586.1;622.4;689.1
25504;180009514962;618.7;565.9;546.8;532.3;486.6
60091;180012901323;397.7;607.4;614.1;558.2;521.0
27583;180009772653;636.1;539.1;493.2;503.2;465.8
39608;180011045746;626.0;511.9;570.9;578.7;421.0
125;180008382172;436.6;488.8;492.5;478.2;533.7
38636;180010969181;681.2;458.3;452.8;470.3;471.2
40005;180010984106;529.6;450.6;501.7;475.1;452.4
14216;180007682409;499.8;493.9;479.2;510.1;565.4
58776;180012792153;584.3;481.4;494.2;496.4;557.7
19874;180007273708;506.3;481.9;484.8;486.4;498.7
13201;180008759781;545.9;506.4;502.8;479.4;426.6
12200;180007949083;544.5;550.1;533.3;511.8;520.8
58486;180012850904;472.9;469.0;494.2;516.4;416.8
1322;180008222431;378.4;533.6;509.8;500.5;557.0
25159;180009616416;543.1;608.3;583.5;593.9;522.3
56278;180012932149;482.0;492.9;499.7;496.8;635.1
12656;180007673619;433.0;447.6;401.6;445.2;394.3
63048;180013473262;443.5;486.1;549.1;529.0;512.8
35387;180010488564;530.7;627.6;630.7;644.9;498.3
12706;180008695098;489.7;559.1;534.7;535.7;440.6
13750;180007916439;601.4;520.8;510.7;491.5;556.0
7286;180008325396;535.8;537.6;602.4;553.7;703.9
18075;180007779779;643.8;509.3;542.3;519.7;399.4
