DICIONÁRIO DE VARIÁVEIS - ENEM 2018 - (Modificado),,,,
,,,,
NOME DA VARIÁVEL,Descrição,Variáveis Categóricas,,Tipo
,,Categoria,Descrição,
DADOS DO PARTICIPANTE,,,,
NU_INSCRICAO,Número de inscrição1 ,,,Numérica
SG_UF_RESIDENCIA,Sigla da Unidade da Federação de residência,,,Alfanumérica
NU_IDADE,Idade2,,,Numérica
TP_SEXO,Sexo,M,Masculino,Alfanumérica
,,F,Feminino ,
TP_ESTADO_CIVIL,Estado Civil,0,Solteiro(a),Numérica
,,1,Casado(a)/Mora com companheiro(a),
,,2,Divorciado(a)/Desquitado(a)/Separado(a),
,,3,Viúvo(a),
TP_COR_RACA,Cor/raça,0,Não declarado,Numérica
,,1,Branca,
,,2,Preta,
,,3,Parda,
,,4,Amarela,
,,5,Indígena ,
TP_ANO_CONCLUIU,Ano de Conclusão do Ensino Médio,0,Não informado,Numérica
,,1,2017,
,,2,2016,
,,3,2015,
,,4,2014,
,,5,2013,
,,6,2012,
,,7,2011,
,,8,2010,
,,9,2009,
,,10,2008,
,,11,2007,
,,12,Antes de 2007,
TP_ESCOLA,Tipo de escola do Ensino Médio,1,Não Respondeu,Numérica
,,2,Pública,
,,3,Privada,
,,4,Exterior,
IN_TREINEIRO,Indica se o inscrito fez a prova com intuito de apenas treinar seus conhecimentos3,1,Sim,Numérica
,,0,Não,
DADOS DA PROVA OBJETIVA,,,,
NU_NOTA_CN,Nota da prova de Ciências da Natureza,,,Numérica
NU_NOTA_CH,Nota da prova de Ciências Humanas,,,Numérica
NU_NOTA_LC,Nota da prova de Linguagens e Códigos,,,Numérica
NU_NOTA_MT,Nota da prova de Matemática,,,Numérica
DADOS DO QUESTIONÁRIO SOCIOECONÔMICO,,,,
Q001,"Até que série seu pai, ou o homem responsável por você, estudou?",A,Nunca estudou.,Alfanumérica
,,B,Não completou a 4ª série/5º ano do Ensino Fundamental.,
,,C,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.",
,,D,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.",
,,E,"Completou o Ensino Médio, mas não completou a Faculdade.",
,,F,"Completou a Faculdade, mas não completou a Pós-graduação.",
,,G,Completou a Pós-graduação.,
,,H,Não sei.,
Q002,"Até que série sua mãe, ou a mulher responsável por você, estudou?",A,Nunca estudou.,Alfanumérica
,,B,Não completou a 4ª série/5º ano do Ensino Fundamental.,
,,C,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.",
,,D,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.",
,,E,"Completou o Ensino Médio, mas não completou a Faculdade.",
,,F,"Completou a Faculdade, mas não completou a Pós-graduação.",
,,G,Completou a Pós-graduação.,
,,H,Não sei.,
Q003,"A partir da apresentação de algumas ocupações divididas em grupos ordenados, indique o grupo que contempla a ocupação mais próxima da ocupação do seu pai ou do homem responsável por você. (Se ele não estiver trabalhando, escolha uma ocupação pensando no último trabalho dele).",A,"Grupo 1: Lavrador, agricultor sem empregados, bóia fria, criador de animais (gado, porcos, galinhas, ovelhas, cavalos etc.), apicultor, pescador, lenhador, seringueiro, extrativista.",Alfanumérica
,,B,"Grupo 2: Diarista, empregado doméstico, cuidador de idosos, babá, cozinheiro (em casas particulares), motorista particular, jardineiro, faxineiro de empresas e prédios, vigilante, porteiro, carteiro, office-boy, vendedor, caixa, atendente de loja, auxiliar administrativo, recepcionista, servente de pedreiro, repositor de mercadoria.",
,,C,"Grupo 3: Padeiro, cozinheiro industrial ou em restaurantes, sapateiro, costureiro, joalheiro, torneiro mecânico, operador de máquinas, soldador, operário de fábrica, trabalhador da mineração, pedreiro, pintor, eletricista, encanador, motorista, caminhoneiro, taxista.",
,,D,"Grupo 4: Professor (de ensino fundamental ou médio, idioma, música, artes etc.), técnico (de enfermagem, contabilidade, eletrônica etc.), policial, militar de baixa patente (soldado, cabo, sargento), corretor de imóveis, supervisor, gerente, mestre de obras, pastor, microempresário (proprietário de empresa com menos de 10 empregados), pequeno comerciante, pequeno proprietário de terras, trabalhador autônomo ou por conta própria.",
,,E,"Grupo 5: Médico, engenheiro, dentista, psicólogo, economista, advogado, juiz, promotor, defensor, delegado, tenente, capitão, coronel, professor universitário, diretor em empresas públicas ou privadas, político, proprietário de empresas com mais de 10 empregados.",
,,F,Não sei.,
